Bin,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,Plasmid ID
MAG_1310,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,,
MAG_1311,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp015060705,
MAG_1312,,,,,,,,,
MAG_1313,,,,,,,,,
MAG_1314,Bacteria,Bacteria,Firmicutes_B,Dehalobacteriia,UBA7702,UBA7702,UBA7702,,
MAG_1315,Bacteria,Bacteria,Firmicutes_B,Dehalobacteriia,UBA7702,UBA7702,UBA7702,,
MAG_1316,,,,,,,,,
MAG_1317,,,,,,,,,
MAG_1318,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,
MAG_1319,,,,,,,,,
MAG_132,,,,,,,,,
MAG_1320,,,,,,,,,
MAG_1321,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,,
MAG_1322,,,,,,,,,
MAG_1323,,,,,,,,,
MAG_1324,,,,,,,,,
MAG_1325,Bacteria,Bacteria,Firmicutes_A,Clostridia,RGIG6154,RGIG6154,RGIG2094,,
MAG_1326,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,UBA1242,Caccovivens,,
MAG_1327,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Cryptobacteroides,,
MAG_1328,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Cryptobacteroides,,
MAG_1329,,,,,,,,,
MAG_133,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-74,Limiplasma,,
MAG_1330,,,,,,,,,
MAG_1331,,,,,,,,,
MAG_1332,,,,,,,,,
MAG_1333,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,F23-B02,F23-B02 sp900760205,
MAG_1334,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,F23-B02,F23-B02 sp900760205,
MAG_1335,,,,,,,,,
MAG_1336,,,,,,,,,
MAG_1337,,,,,,,,,
MAG_1338,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp017466635,
MAG_1339,,,,,,,,,
MAG_134,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-74,RGIG2066,,
MAG_1340,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp002493165,
MAG_1341,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp002493165,
MAG_1342,,,,,,,,,
MAG_1343,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp017416735,
MAG_1344,,,,,,,,,
MAG_1345,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp017416735,
MAG_1346,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,SFWF01,SFWF01 sp900769775,
MAG_1347,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,SFWF01,,
MAG_1348,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,SFWF01,SFWF01 sp900769775,
MAG_1349,,,,,,,,,
MAG_135,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,Butyricimonas virosa,
MAG_1350,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-138,,,
MAG_1351,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-138,,,
MAG_1352,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,UMGS1783,,,
MAG_1353,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-83,,
MAG_1354,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,UMGS1783,,,
MAG_1355,,,,,,,,,
MAG_1356,Bacteria,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA3766,UBA3766 sp017622505,
MAG_1357,Bacteria,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA3766,UBA3766 sp017622505,
MAG_1358,,,,,,,,,
MAG_1359,,,,,,,,,
MAG_136,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Pelethomonas,,
MAG_1360,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,,
MAG_1361,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,,
MAG_1362,,,,,,,,,
MAG_1363,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Egerieousia,Egerieousia sp017625535,
MAG_1364,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Egerieousia,Egerieousia sp017625535,
MAG_1365,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Egerieousia,Egerieousia sp017625535,
MAG_1366,,,,,,,,,
MAG_1367,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,MARSEILLE-P3954,RGIG9107,,
MAG_1368,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,MARSEILLE-P3954,RGIG9107,,
MAG_1369,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,MARSEILLE-P3954,RGIG9107,,
MAG_137,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,Christensenellaceae,,,
MAG_1370,,,,,,,,,
MAG_1371,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia sp017937215,
MAG_1372,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia sp017937215,
MAG_1373,,,,,,,,,
MAG_1374,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia sp017937215,
MAG_1375,,,,,,,,,
MAG_1376,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Dysosmobacter,,
MAG_1377,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Dysosmobacter,,
MAG_1378,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Dysosmobacter,,
MAG_1379,,,,,,,,,
MAG_138,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,,
MAG_1380,,,,,,,,,
MAG_1381,,,,,,,,,
MAG_1382,Bacteria,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Faecalimonas,,
MAG_1383,Bacteria,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Faecalimonas,,
MAG_1384,Bacteria,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Faecalimonas,,
MAG_1385,,,,,,,,,
MAG_1386,,,,,,,,,
MAG_1387,,,,,,,,,
MAG_1388,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,An92,,
MAG_1389,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,An92,,
MAG_139,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-74,UBA11524,,
MAG_1390,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,An92,,
MAG_1391,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,An92,,
MAG_1392,Bacteria,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,UBA1829,UBA11452,UBA11452 sp003526375,
MAG_1393,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-83,,
MAG_1394,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,,
MAG_1395,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-138,,,
MAG_1396,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-138,,,
MAG_1397,,,,,,,,,
MAG_1398,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,UBA1242,,,
MAG_1399,,,,,,,,,
MAG_14,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,Butyricimonas virosa,
MAG_140,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Avoscillospira,,
MAG_1400,,,,,,,,,
MAG_1401,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,Borkfalkiaceae,Scatosoma,,
MAG_1402,Bacteria,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Choladousia,,
MAG_1403,Bacteria,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,HGM12587,,
MAG_1404,Bacteria,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,HGM12587,,
MAG_1405,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Negativibacillus,Negativibacillus massiliensis,
MAG_1406,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Butyricicoccaceae,Butyricicoccus,,
MAG_1407,,,,,,,,,
MAG_1408,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900319305,
MAG_1409,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-74,Ventricola,,
MAG_141,Bacteria,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Schaedlerella,Schaedlerella sp905203555,
MAG_1410,Bacteria,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Slackia_A,,
MAG_1411,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-138,MWCU01,,
MAG_1412,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-138,,,
MAG_1413,,,,,,,,,
MAG_1414,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,,
MAG_1415,,,,,,,,,
MAG_1416,,,,,,,,,
MAG_1417,,,,,,,,,
MAG_1418,Bacteria,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,RGIG1896,RGIG1896 sp017473335,
MAG_1419,,,,,,,,,
MAG_142,Bacteria,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_G,,
MAG_1420,,,,,,,,,
MAG_1421,Bacteria,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,SIG307,SIG307 sp017463035,
MAG_1422,Bacteria,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,SIG307,,
MAG_1423,Bacteria,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,SZUA-448,,
MAG_1424,Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,Scatacola_A,Scatacola_A faecigallinarum,
MAG_1425,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,Christensenellaceae,,,
MAG_1426,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,Faecousia sp015067545,
MAG_1427,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Dysosmobacter,,
MAG_1428,,,,,,,,,
MAG_1429,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,HGM12789,,
MAG_143,Bacteria,Bacteria,Firmicutes,Bacilli,DSM-16016,Caldibacillaceae,RUG14133,RUG14133 sp902796085,
MAG_1430,,,,,,,,,
MAG_1431,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,CAG-272,UMGS1696,,
MAG_1432,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,CAG-272,UMGS1696,,
MAG_1433,,,,,,,,,
MAG_1434,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,CAG-272,UMGS1696,,
MAG_1435,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-74,Ventricola,,
MAG_1436,,,,,,,,,
MAG_1437,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-177,CAG-177 sp017938985,
MAG_1438,,,,,,,,,
MAG_1439,,,,,,,,,
MAG_144,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA11471,UBA11471,UBA11471 sp900547555,
MAG_1440,,,,,,,,,
MAG_1441,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,,
MAG_1442,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Avoscillospira,,
MAG_1443,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Avoscillospira,,
MAG_1444,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Avoscillospira,,
MAG_1445,,,,,,,,,
MAG_1446,Bacteria,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Acetatifactor,,
MAG_1447,,,,,,,,,
MAG_1448,,,,,,,,,
MAG_1449,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1417,UBA1417 sp004555625,
MAG_145,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UBA1405,,
MAG_1450,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-488,CAG-488 sp017936645,
MAG_1451,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-488,CAG-488 sp017936645,
MAG_1452,,,,,,,,,
MAG_1453,Bacteria,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,UBA1829,SIG77,,
MAG_1454,,,,,,,,,
MAG_1455,Bacteria,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,UBA1829,SIG77,,
MAG_1456,,,,,,,,,
MAG_1457,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,Borkfalkiaceae,UBA1259,,
MAG_1458,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,,,
MAG_1459,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,,
MAG_146,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-138,SFEL01,,
MAG_1460,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,,
MAG_1461,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Dysosmobacter,,
MAG_1462,,,,,,,,,
MAG_1463,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Dysosmobacter,,
MAG_1464,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-74,RUG563,,
MAG_1465,,,,,,,,,
MAG_1466,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,SIG565,,
MAG_1467,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-74,RUG563,,
MAG_1468,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,,
MAG_1469,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,,
MAG_147,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Avoscillospira,,
MAG_1470,,,,,,,,,
MAG_1471,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,RGIG3102,,
MAG_1472,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,RGIG3102,,
MAG_1473,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-488,CAG-488 sp017415025,
MAG_1474,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-488,CAG-488 sp017415025,
MAG_1475,,,,,,,,,
MAG_1476,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-83,CAG-83 sp004555205,
MAG_1477,,,,,,,,,
MAG_1478,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA737,,
MAG_1479,,,,,,,,,
MAG_148,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,RGIG4076,,
MAG_1480,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA737,,
MAG_1481,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA737,UBA737 sp015066445,
MAG_1482,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA737,,
MAG_1483,,,,,,,,,
MAG_1484,,,,,,,,,
MAG_1485,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,Ruminococcus sp015066935,
MAG_1486,,,,,,,,,
MAG_1487,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,Ruminococcus sp015066935,
MAG_1488,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,Ruminococcus sp015066935,
MAG_1489,,,,,,,,,
MAG_149,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,Faecousia sp015068135,
MAG_1490,Bacteria,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Faecalimonas,,
MAG_1491,,,,,,,,,
MAG_1492,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,CAG-382,SIG622,,
MAG_1493,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-917,RGIG4097,RGIG4097 sp017461985,
MAG_1494,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,CAG-382,SIG622,,
MAG_1495,Bacteria,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-317,CAG-317 sp000433535,
MAG_1496,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,CAG-382,RUG14179,RUG14179 sp017408325,
MAG_1497,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,CAG-382,RUG14179,RUG14179 sp017408325,
MAG_1498,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,CAG-382,RUG14179,,
MAG_1499,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,CAG-272,SIG672,,
MAG_15,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-74,,,
MAG_150,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Avoscillospira,,
MAG_1500,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,UBA1242,RGIG1681,,
MAG_1501,,,,,,,,,
MAG_1502,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,UBA1242,RGIG1681,,
MAG_1503,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-74,Ventricola,,
MAG_1504,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,RGIG6375,,
MAG_1505,,,,,,,,,
MAG_1506,,,,,,,,,
MAG_1507,Bacteria,Bacteria,Firmicutes_B,Dehalobacteriia,UBA4068,UBA4068,RGIG3155,,
MAG_1508,,,,,,,,,
MAG_1509,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Pseudoflavonifractor,,
MAG_151,Bacteria,Bacteria,Firmicutes_A,Clostridia,HGM11514,HGM11514,HGM11514,HGM11514 sp900757255,
MAG_1510,,,,,,,,,
MAG_1511,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,CAG-272,Flemingibacterium,,
MAG_1512,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,CAG-272,Flemingibacterium,,
MAG_1513,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,CAG-272,Flemingibacterium,,
MAG_1514,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,Fimenecus,,
MAG_1515,Bacteria,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema_F,Treponema_F sp017622135,
MAG_1516,,,,,,,,,
MAG_1517,Bacteria,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Pseudolachnospira,,
MAG_1518,,,,,,,,,
MAG_1519,,,,,,,,,
MAG_152,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Dysosmobacter,,
MAG_1520,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1081,,
MAG_1521,,,,,,,,,
MAG_1522,,,,,,,,,
MAG_1523,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Limivicinus,,
MAG_1524,Bacteria,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium_B,,
MAG_1525,,,,,,,,,
MAG_1526,,,,,,,,,
MAG_1527,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,RUG806,,
MAG_1528,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,RUG806,,
MAG_1529,,,,,,,,,
MAG_153,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Pseudoflavonifractor,Pseudoflavonifractor capillosus,
MAG_1530,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,CAG-272,UMGS1696,,
MAG_1531,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,CAG-272,UMGS1696,,
MAG_1532,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,CAG-272,UMGS1696,,
MAG_1533,,,,,,,,,
MAG_1534,Bacteria,Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-433,,
MAG_1536,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-74,Limiplasma,,
MAG_1537,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA737,,
MAG_1538,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-74,UBA11524,,
MAG_1539,,,,,,,,,
MAG_154,Bacteria,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Lactonifactor,,
MAG_1540,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-917,RGIG4097,,
MAG_1541,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,UMGS1783,,,
MAG_1542,,,,,,,,,
MAG_1543,,,,,,,,,
MAG_1544,Bacteria,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Copromorpha,,
MAG_1545,,,,,,,,,
MAG_1546,,,,,,,,,
MAG_1547,,,,,,,,,
MAG_1548,,,,,,,,,
MAG_1549,,,,,,,,,
MAG_155,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Avoscillospira,,
MAG_1550,Bacteria,Bacteria,Desulfobacterota_I,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Mailhella,,
MAG_1551,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,G3-4614,Caccoplasma,,
MAG_1552,,,,,,,,,
MAG_1553,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UBA1762,UBA1762 sp017472965,
MAG_1554,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,
MAG_1555,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,
MAG_1556,,,,,,,,,
MAG_1557,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,
MAG_1558,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-488,CAG-488 sp017942105,
MAG_1559,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-488,CAG-488 sp017942105,
MAG_156,,,,,,,,,
MAG_1560,,,,,,,,,
MAG_1561,,,,,,,,,
MAG_1562,Bacteria,Bacteria,Firmicutes_A,Clostridia,UMGS1883,UMGS1540,,,
MAG_1563,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Dysosmobacter,,
MAG_1564,,,,,,,,,
MAG_1565,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,,
MAG_1566,Bacteria,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,Scatovivens,,
MAG_1567,Bacteria,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,Scatovivens,,
MAG_1568,,,,,,,,,
MAG_1569,Bacteria,Bacteria,Firmicutes,Bacilli,RF39,UBA660,UBA3631,,
MAG_157,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Dysosmobacter,,
MAG_1570,Bacteria,Bacteria,Firmicutes,Bacilli,RF39,UBA660,UBA3631,,
MAG_1571,Bacteria,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,Scatovivens,,
MAG_1572,Bacteria,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,Scatovivens,,
MAG_1573,Bacteria,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,Scatovivens,,
MAG_1574,,,,,,,,,
MAG_1575,Bacteria,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,Scatovivens,,
MAG_1576,,,,,,,,,
MAG_1577,,,,,,,,,
MAG_1578,,,,,,,,,
MAG_1579,,,,,,,,,
MAG_158,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Butyricicoccaceae,JAAZBA01,,
MAG_1580,,,,,,,,,
MAG_1581,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-74,RUG563,RUG563 sp015056015,
MAG_1582,,,,,,,,,
MAG_1583,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,,
