Bin,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,Plasmid ID
MAG_1087,,,,,,,,,
MAG_1088,,,,,,,,,
MAG_1089,,,,,,,,,
MAG_109,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,CAG-272,RUG11130,,
MAG_1090,,,,,,,,,
MAG_1091,Bacteria,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,UBA1390,,,
MAG_1092,Bacteria,Bacteria,Firmicutes_A,Clostridia,UMGS1840,HGM11507,,,
MAG_1093,,,,,,,,,
MAG_1094,Bacteria,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Thermoguttaceae,RUG369,RUG369 sp017937485,
MAG_1095,,,,,,,,,
MAG_1096,,,,,,,,,
MAG_1097,,,,,,,,,
MAG_1098,,,,,,,,,
MAG_1099,,,,,,,,,
MAG_11,Bacteria,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-74,RGIG4709,,
MAG_110,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,CAG-272,RUG11130,,
MAG_1100,,,,,,,,,
MAG_1101,Bacteria,Bacteria,Firmicutes_B,Dehalobacteriia,UBA4068,UBA5755,,,
MAG_1102,,,,,,,,,
MAG_1103,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,CAG-272,Avispirillum,,
MAG_1104,,,,,,,,,
MAG_1105,,,,,,,,,
MAG_1106,,,,,,,,,
MAG_1107,,,,,,,,,
MAG_1108,,,,,,,,,
MAG_1109,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis_B,
MAG_111,,,,,,,,,
MAG_1110,,,,,,,,,
MAG_1111,,,,,,,,,
MAG_1112,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Parasutterella,Parasutterella sp900552195,
MAG_1113,Bacteria,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,SIG483,,
MAG_1114,,,,,,,,,
