Contig,Bin,Type
contig_22481,Unbinned MAG,unmapped
contig_22484,Unbinned MAG,unmapped
contig_22485,MAG_845,chromosome
contig_22486,MAG_883,unmapped
contig_22487,MAG_689,unmapped
contig_22488,MAG_672,unmapped
contig_22489,Unbinned MAG,unmapped
contig_22490,Unbinned MAG,unmapped
contig_22491,MAG_664,chromosome
contig_22494,Unbinned MAG,unmapped
contig_22495,Unbinned MAG,unmapped
contig_22498,MAG_689,unmapped
contig_22499,MAG_883,unmapped
contig_225,MAG_122,chromosome
contig_2250,MAG_1582,unmapped
contig_22500,MAG_672,unmapped
contig_22501,MAG_1070,chromosome
contig_22502,MAG_975,unmapped
contig_22503,MAG_675,unmapped
contig_22504,MAG_689,unmapped
contig_22506,MAG_878,chromosome
contig_22507,MAG_878,chromosome
contig_22508,MAG_310,chromosome
contig_22510,MAG_664,chromosome
contig_22512,MAG_672,unmapped
contig_22515,MAG_976,unmapped
contig_22518,MAG_878,chromosome
contig_22520,MAG_672,unmapped
contig_22521,MAG_498,unmapped
contig_22522,MAG_647,unmapped
contig_22529,MAG_188,unmapped
contig_22536,MAG_481,chromosome
contig_22537,MAG_1818,chromosome
contig_22538,MAG_598,chromosome
contig_22541,MAG_94,chromosome
contig_22544,MAG_1692,unmapped
contig_22545,MAG_1693,unmapped
contig_22549,MAG_145,chromosome
contig_22557,MAG_69,chromosome
contig_22561,MAG_1572,chromosome
contig_22563,MAG_139,unmapped
contig_22564,MAG_139,chromosome
contig_22565,MAG_288,unmapped
contig_22567,MAG_1198,unmapped
contig_22569,MAG_760,unmapped
contig_22573,MAG_1201,unmapped
contig_22577,MAG_961,chromosome
contig_22581,MAG_626,chromosome
contig_22582,Unbinned MAG,unmapped
contig_22583,Unbinned MAG,unmapped
contig_22585,MAG_192,chromosome
contig_22589,MAG_474,unmapped
contig_22591,MAG_38,chromosome
contig_22595,MAG_451,chromosome
contig_226,MAG_1267,unmapped
contig_22601,MAG_1774,unmapped
contig_22604,MAG_136,chromosome
contig_22607,Unbinned MAG,unmapped
contig_22624,MAG_399,chromosome
contig_22625,MAG_17,chromosome
contig_2263,MAG_758,chromosome
contig_22632,MAG_1801,chromosome
contig_22637,MAG_785,unmapped
contig_22648,MAG_818,unmapped
contig_22654,MAG_60,chromosome
contig_22655,MAG_144,chromosome
contig_22667,MAG_490,chromosome
contig_22672,MAG_55,chromosome
contig_22683,MAG_245,chromosome
contig_22684,MAG_1482,unmapped
contig_22686,MAG_1646,chromosome
contig_22687,MAG_1647,chromosome
contig_22688,MAG_942,chromosome
contig_22689,MAG_1647,chromosome
contig_22697,MAG_344,unmapped
contig_22698,MAG_172,chromosome
contig_22699,MAG_51,chromosome
contig_22704,MAG_1243,chromosome
contig_22707,Unbinned MAG,unmapped
contig_22708,MAG_1545,unmapped
contig_22716,MAG_53,chromosome
contig_22725,MAG_148,chromosome
contig_2273,Unbinned MAG,unmapped
contig_22731,MAG_153,chromosome
contig_2274,MAG_1553,chromosome
contig_2275,MAG_673,unmapped
contig_22755,MAG_1487,chromosome
contig_22766,MAG_188,unmapped
contig_22768,MAG_21,unmapped
contig_22772,MAG_1244,chromosome
contig_22775,MAG_20,chromosome
contig_22781,MAG_99,unmapped
contig_22785,MAG_303,chromosome
contig_22801,MAG_852,unmapped
contig_22809,MAG_492,chromosome
contig_22811,contig_22811,phage
contig_22812,MAG_1329,unmapped
contig_22816,MAG_471,unmapped
contig_2283,MAG_336,chromosome
contig_22831,MAG_1750,unmapped
contig_2284,MAG_335,unmapped
contig_22847,MAG_1423,chromosome
contig_2285,MAG_335,chromosome
contig_22862,MAG_200,chromosome
contig_22863,MAG_200,chromosome
contig_22864,MAG_286,unmapped
contig_22865,MAG_322,unmapped
contig_2287,MAG_481,chromosome
contig_2288,MAG_1219,chromosome
contig_22882,Unbinned MAG,unmapped
contig_22883,Unbinned MAG,unmapped
contig_22888,MAG_523,chromosome
contig_2289,MAG_30,chromosome
contig_22892,MAG_422,chromosome
contig_22894,MAG_388,unmapped
contig_22895,contig_22895,phage
contig_22898,MAG_1634,chromosome
contig_229,MAG_934,chromosome
contig_22903,MAG_211,chromosome
contig_22904,MAG_194,chromosome
contig_22909,MAG_952,chromosome
contig_22911,MAG_212,unmapped
contig_22913,MAG_952,chromosome
contig_22914,MAG_952,chromosome
contig_22915,MAG_854,chromosome
contig_22918,Unbinned MAG,unmapped
contig_22924,MAG_341,chromosome
contig_22927,MAG_750,unmapped
contig_22929,MAG_700,chromosome
contig_22932,MAG_382,chromosome
contig_22933,MAG_819,unmapped
contig_22952,MAG_1813,unmapped
contig_22954,MAG_76,chromosome
contig_22955,MAG_162,chromosome
contig_22956,MAG_477,chromosome
contig_22957,MAG_141,chromosome
contig_22958,MAG_38,chromosome
contig_22963,MAG_28,chromosome
contig_22969,MAG_44,chromosome
contig_22976,MAG_452,chromosome
contig_22978,MAG_452,chromosome
contig_22982,MAG_1,unmapped
contig_22993,MAG_101,chromosome
contig_22994,MAG_1217,chromosome
contig_23,MAG_84,chromosome
contig_23003,MAG_317,unmapped
contig_23005,MAG_71,chromosome
contig_23007,MAG_319,chromosome
contig_23008,MAG_996,unmapped
contig_23012,MAG_989,unmapped
contig_23016,MAG_524,chromosome
contig_23028,MAG_173,chromosome
contig_2303,MAG_1224,chromosome
contig_23041,MAG_180,chromosome
contig_23053,MAG_466,chromosome
contig_23059,MAG_53,chromosome
contig_23071,MAG_1180,chromosome
contig_23073,MAG_109,chromosome
contig_23074,MAG_433,unmapped
contig_23075,contig_23075,plasmid
contig_23084,MAG_551,chromosome
contig_23086,MAG_335,chromosome
contig_23087,MAG_335,chromosome
contig_23100,MAG_883,unmapped
contig_23101,MAG_335,chromosome
contig_23104,MAG_1,unmapped
contig_23114,MAG_40,chromosome
contig_23115,MAG_40,chromosome
contig_23121,MAG_1804,chromosome
contig_23122,MAG_1804,chromosome
contig_23125,MAG_386,chromosome
contig_2313,contig_2313,phage
contig_23130,MAG_145,chromosome
contig_23132,MAG_1571,chromosome
contig_23133,MAG_1573,chromosome
contig_23136,MAG_5,chromosome
contig_23138,MAG_619,chromosome
contig_23146,MAG_759,unmapped
contig_2315,MAG_1651,unmapped
contig_23158,MAG_1202,chromosome
contig_23162,MAG_131,chromosome
contig_23168,MAG_51,chromosome
contig_23169,MAG_1554,chromosome
contig_23171,MAG_17,chromosome
contig_23181,MAG_543,chromosome
contig_23182,MAG_88,chromosome
contig_23183,MAG_111,unmapped
contig_23184,MAG_98,chromosome
contig_23185,MAG_1327,chromosome
contig_23189,contig_23189,phage
contig_23192,MAG_1267,unmapped
contig_23193,MAG_872,chromosome
contig_23194,MAG_25,chromosome
contig_23197,MAG_1832,unmapped
contig_2320,MAG_1651,unmapped
contig_23205,MAG_620,chromosome
contig_23210,MAG_1641,chromosome
contig_23211,MAG_1762,unmapped
contig_23213,MAG_637,chromosome
contig_23214,MAG_1578,unmapped
contig_23215,MAG_19,chromosome
contig_23220,MAG_1624,chromosome
contig_23222,MAG_546,unmapped
contig_23229,MAG_455,unmapped
contig_2323,MAG_1691,unmapped
contig_23234,MAG_1650,unmapped
contig_23235,MAG_1650,unmapped
contig_23236,MAG_1650,unmapped
contig_23237,MAG_1650,unmapped
contig_23239,MAG_1650,unmapped
contig_23243,MAG_1650,chromosome
contig_2325,Unbinned MAG,unmapped
contig_23251,MAG_27,chromosome
contig_23257,MAG_1596,chromosome
contig_23258,MAG_315,chromosome
contig_23261,MAG_15,chromosome
contig_23267,MAG_39,unmapped
contig_23268,MAG_387,chromosome
contig_23275,MAG_179,unmapped
contig_23277,contig_23277,phage
contig_23279,MAG_591,unmapped
contig_23284,MAG_131,chromosome
contig_23289,MAG_646,chromosome
contig_23290,MAG_1668,chromosome
contig_23294,MAG_221,chromosome
contig_23295,MAG_1730,chromosome
contig_233,MAG_1266,unmapped
contig_2330,MAG_241,chromosome
contig_23306,MAG_1481,chromosome
contig_23307,MAG_245,chromosome
contig_23308,MAG_1483,unmapped
contig_2331,MAG_103,chromosome
contig_23310,MAG_424,unmapped
contig_23312,MAG_1422,chromosome
contig_2332,MAG_79,chromosome
contig_23321,MAG_46,chromosome
contig_23330,MAG_768,chromosome
contig_23333,MAG_167,chromosome
contig_23334,MAG_182,chromosome
contig_23339,MAG_753,chromosome
contig_23343,contig_23343,phage
contig_23346,MAG_356,unmapped
contig_23349,MAG_503,chromosome
contig_2335,MAG_1893,chromosome
contig_23357,MAG_242,chromosome
contig_23368,MAG_594,chromosome
contig_23369,MAG_625,unmapped
contig_23372,MAG_1576,chromosome
contig_23374,MAG_507,chromosome
contig_23379,MAG_178,chromosome
contig_23381,MAG_178,chromosome
contig_23391,MAG_1442,chromosome
contig_23395,MAG_1253,chromosome
contig_23396,MAG_132,chromosome
contig_23397,MAG_132,chromosome
contig_23399,MAG_1250,unmapped
contig_23400,MAG_910,chromosome
contig_23407,MAG_1440,unmapped
contig_23414,MAG_303,chromosome
contig_23415,MAG_262,chromosome
contig_23416,Unbinned MAG,unmapped
contig_23417,MAG_435,unmapped
contig_23418,MAG_435,unmapped
contig_23419,MAG_1806,unmapped
contig_23420,MAG_1,unmapped
contig_23426,MAG_1336,chromosome
contig_23432,MAG_1432,chromosome
contig_23434,MAG_568,chromosome
contig_23442,MAG_261,chromosome
contig_23447,Unbinned MAG,unmapped
contig_23448,Unbinned MAG,unmapped
contig_23456,Unbinned MAG,unmapped
contig_23465,MAG_902,unmapped
contig_23467,MAG_67,chromosome
contig_23468,MAG_1576,chromosome
contig_23470,MAG_1678,chromosome
contig_23471,MAG_1678,chromosome
contig_23480,MAG_554,unmapped
contig_23482,MAG_389,unmapped
contig_23486,MAG_912,chromosome
contig_23492,MAG_96,chromosome
contig_23493,MAG_973,unmapped
contig_23496,MAG_916,unmapped
contig_23500,MAG_1367,chromosome
contig_23501,MAG_1689,unmapped
contig_23512,MAG_1266,unmapped
contig_2352,MAG_317,unmapped
contig_23524,MAG_128,unmapped
contig_23526,MAG_128,unmapped
contig_2353,MAG_1485,chromosome
contig_23533,Unbinned MAG,unmapped
contig_23537,MAG_308,chromosome
contig_23538,MAG_14,chromosome
contig_23539,MAG_135,chromosome
contig_2354,MAG_172,chromosome
contig_23541,MAG_408,unmapped
contig_23543,MAG_1796,chromosome
contig_23545,MAG_65,chromosome
contig_23555,MAG_144,chromosome
contig_23568,MAG_531,chromosome
contig_23572,MAG_234,chromosome
contig_23579,MAG_34,chromosome
contig_2358,MAG_385,chromosome
contig_23580,MAG_1860,chromosome
contig_23581,MAG_276,chromosome
contig_23587,Unbinned MAG,unmapped
contig_23591,MAG_42,chromosome
contig_23599,MAG_422,chromosome
contig_23600,MAG_169,chromosome
contig_23602,MAG_344,unmapped
contig_23623,MAG_475,unmapped
contig_23627,MAG_924,chromosome
contig_2363,MAG_385,chromosome
contig_23632,MAG_1722,unmapped
contig_23633,MAG_345,unmapped
contig_23648,MAG_446,chromosome
contig_23650,MAG_854,chromosome
contig_23652,MAG_39,unmapped
contig_23654,MAG_653,chromosome
contig_23655,MAG_1819,chromosome
contig_23656,MAG_598,chromosome
contig_23657,MAG_1819,chromosome
contig_23658,MAG_605,unmapped
contig_23659,MAG_614,unmapped
contig_23660,MAG_1819,chromosome
contig_23663,MAG_1817,unmapped
contig_23664,MAG_605,unmapped
contig_23673,contig_23673,phage
contig_23684,MAG_297,chromosome
contig_23685,MAG_516,unmapped
contig_23691,MAG_888,unmapped
contig_23693,MAG_1658,unmapped
contig_23694,MAG_1659,chromosome
contig_23696,MAG_1661,chromosome
contig_23698,MAG_1624,chromosome
contig_23702,MAG_167,chromosome
contig_23703,MAG_365,chromosome
contig_23708,MAG_253,chromosome
contig_23710,MAG_535,unmapped
contig_23716,MAG_8,chromosome
contig_23718,Unbinned MAG,unmapped
contig_23722,MAG_8,chromosome
contig_23724,MAG_235,unmapped
contig_23725,MAG_235,unmapped
contig_23726,MAG_235,unmapped
contig_23728,MAG_1370,unmapped
contig_2373,MAG_385,chromosome
contig_23730,Unbinned MAG,unmapped
contig_23731,MAG_835,unmapped
contig_23733,MAG_265,chromosome
contig_23734,Unbinned MAG,unmapped
contig_23738,Unbinned MAG,unmapped
contig_2375,MAG_429,chromosome
contig_23750,MAG_10,chromosome
contig_23753,Unbinned MAG,unmapped
contig_23759,MAG_1240,chromosome
contig_23768,MAG_224,chromosome
contig_23771,MAG_87,unmapped
contig_23772,MAG_1396,chromosome
contig_23778,MAG_1371,chromosome
contig_23785,MAG_559,chromosome
contig_238,MAG_885,chromosome
contig_23800,MAG_1034,unmapped
contig_23804,MAG_401,unmapped
contig_23807,MAG_1435,chromosome
contig_23808,MAG_1597,chromosome
contig_23809,MAG_722,chromosome
contig_23810,MAG_12,chromosome
contig_23822,MAG_330,chromosome
contig_23824,MAG_478,unmapped
contig_23825,MAG_1443,chromosome
contig_23827,MAG_211,chromosome
contig_23828,MAG_1678,chromosome
contig_23830,MAG_232,chromosome
contig_23833,MAG_204,chromosome
contig_23835,MAG_1412,chromosome
contig_2384,MAG_1561,unmapped
contig_23848,MAG_31,chromosome
contig_23855,MAG_157,chromosome
contig_23861,MAG_216,chromosome
contig_23865,MAG_909,chromosome
contig_23869,MAG_485,unmapped
contig_23883,MAG_1585,chromosome
contig_239,MAG_761,chromosome
contig_23900,MAG_446,chromosome
contig_23906,MAG_292,unmapped
contig_23908,MAG_292,unmapped
contig_23910,MAG_292,unmapped
contig_23914,MAG_292,unmapped
contig_23922,contig_23922,phage
contig_23938,MAG_1390,chromosome
contig_23939,MAG_1388,chromosome
contig_23941,MAG_34,chromosome
contig_23945,MAG_323,chromosome
contig_23948,MAG_1553,chromosome
contig_23951,MAG_17,chromosome
contig_23953,MAG_688,unmapped
contig_23961,MAG_932,chromosome
contig_23972,MAG_1437,chromosome
contig_23986,MAG_242,chromosome
contig_23987,MAG_1452,chromosome
contig_23990,MAG_202,chromosome
contig_23991,MAG_1507,chromosome
contig_24,MAG_917,chromosome
contig_2402,MAG_82,chromosome
contig_24027,Unbinned MAG,unmapped
contig_24039,MAG_429,chromosome
contig_2404,MAG_62,unmapped
contig_24040,MAG_1776,unmapped
contig_24046,MAG_1371,chromosome
contig_24048,MAG_428,unmapped
contig_24051,MAG_98,chromosome
contig_24054,MAG_1460,chromosome
contig_24066,Unbinned MAG,unmapped
contig_24071,MAG_22,chromosome
contig_24072,MAG_515,chromosome
contig_24073,MAG_425,unmapped
contig_24075,MAG_674,unmapped
contig_24076,MAG_56,chromosome
contig_24093,MAG_270,chromosome
contig_24097,MAG_207,chromosome
contig_24100,MAG_1867,unmapped
contig_24102,MAG_1652,unmapped
contig_24109,MAG_1429,chromosome
contig_24110,MAG_1375,unmapped
contig_24113,MAG_1371,chromosome
contig_24116,contig_24116,phage
contig_2412,MAG_183,chromosome
contig_24120,MAG_945,chromosome
contig_24121,MAG_602,unmapped
contig_24123,MAG_761,chromosome
contig_24126,MAG_750,unmapped
contig_24127,MAG_944,chromosome
contig_2413,MAG_1546,unmapped
contig_2414,MAG_185,chromosome
contig_24140,MAG_1295,unmapped
contig_24142,MAG_129,chromosome
contig_24145,MAG_54,chromosome
contig_24146,MAG_1805,chromosome
contig_24148,Unbinned MAG,unmapped
contig_2415,MAG_754,chromosome
contig_24151,MAG_49,chromosome
contig_24157,MAG_37,unmapped
contig_24164,MAG_280,unmapped
contig_24165,MAG_1712,unmapped
contig_24166,MAG_1783,chromosome
contig_2419,MAG_14,chromosome
contig_2420,MAG_14,chromosome
contig_24206,MAG_17,chromosome
contig_24207,MAG_183,chromosome
contig_24211,contig_24211,phage
contig_24212,contig_24212,phage
contig_24213,contig_24213,phage
contig_24217,MAG_965,unmapped
contig_24221,MAG_1782,chromosome
contig_2423,Unbinned MAG,unmapped
contig_2424,Unbinned MAG,unmapped
contig_24244,MAG_1698,unmapped
contig_24247,MAG_1728,chromosome
contig_24252,MAG_1850,chromosome
contig_24255,MAG_154,chromosome
contig_24257,MAG_159,unmapped
contig_24259,MAG_680,unmapped
contig_24262,MAG_233,chromosome
contig_24273,MAG_42,chromosome
contig_24274,MAG_42,chromosome
contig_24277,contig_24277,phage
contig_2428,MAG_1795,chromosome
contig_24281,MAG_1072,unmapped
contig_24289,MAG_1683,chromosome
contig_24299,MAG_22,chromosome
contig_243,MAG_908,chromosome
contig_24300,Unbinned MAG,unmapped
contig_24304,MAG_1370,unmapped
contig_24309,Unbinned MAG,unmapped
contig_2431,MAG_1340,chromosome
contig_24310,Unbinned MAG,unmapped
contig_24315,MAG_51,chromosome
contig_24318,MAG_203,unmapped
contig_2432,MAG_1340,chromosome
contig_24323,MAG_81,chromosome
contig_24324,MAG_1602,chromosome
contig_24325,MAG_1602,chromosome
contig_24327,MAG_1124,unmapped
contig_24328,MAG_55,chromosome
contig_24330,MAG_2,chromosome
contig_24336,MAG_19,chromosome
contig_24337,MAG_1844,chromosome
contig_24347,MAG_981,chromosome
contig_2435,MAG_1340,chromosome
contig_24352,MAG_13,chromosome
contig_24359,MAG_264,unmapped
contig_24369,MAG_917,chromosome
contig_24370,Unbinned MAG,unmapped
contig_24374,MAG_712,unmapped
contig_24377,MAG_712,unmapped
contig_24380,MAG_453,unmapped
contig_24387,MAG_326,chromosome
contig_24390,Unbinned MAG,unmapped
contig_24395,MAG_4,chromosome
contig_244,MAG_855,unmapped
contig_24404,MAG_166,chromosome
contig_24407,MAG_897,chromosome
contig_24408,MAG_32,chromosome
contig_24414,MAG_466,chromosome
contig_24416,MAG_169,chromosome
contig_24418,MAG_396,chromosome
contig_24425,contig_24425,plasmid
contig_24432,MAG_643,unmapped
contig_24435,MAG_159,chromosome
contig_2444,MAG_1314,chromosome
contig_24440,MAG_300,chromosome
contig_24452,MAG_159,unmapped
contig_24453,MAG_643,unmapped
contig_24459,MAG_643,unmapped
contig_24466,MAG_159,unmapped
contig_24469,MAG_408,unmapped
contig_24476,MAG_1406,chromosome
contig_24478,MAG_383,chromosome
contig_2448,MAG_138,chromosome
contig_24487,MAG_516,unmapped
contig_24510,MAG_223,chromosome
contig_24511,MAG_504,unmapped
contig_24512,MAG_504,unmapped
contig_24524,MAG_11,chromosome
contig_24527,MAG_1401,chromosome
contig_24529,MAG_826,unmapped
contig_2453,MAG_1574,unmapped
contig_24531,contig_24531,phage
contig_24536,MAG_1845,unmapped
contig_24543,MAG_138,chromosome
contig_24548,MAG_33,chromosome
contig_2455,MAG_1571,chromosome
contig_24551,MAG_1255,chromosome
contig_24553,MAG_1823,chromosome
contig_24554,MAG_72,chromosome
contig_2456,MAG_1572,chromosome
contig_24563,MAG_113,chromosome
contig_24566,MAG_109,chromosome
contig_24567,MAG_109,chromosome
contig_24568,MAG_1406,chromosome
contig_2457,Unbinned MAG,unmapped
contig_24573,MAG_148,chromosome
contig_24579,MAG_1576,unmapped
contig_24582,MAG_1110,unmapped
contig_24583,Unbinned MAG,unmapped
contig_24584,MAG_331,chromosome
contig_2459,Unbinned MAG,unmapped
contig_24591,MAG_95,chromosome
contig_24599,MAG_256,chromosome
contig_246,MAG_1792,chromosome
contig_24600,MAG_650,unmapped
contig_24609,MAG_614,unmapped
contig_24617,MAG_576,chromosome
contig_24621,MAG_247,chromosome
contig_24625,MAG_322,unmapped
contig_24628,MAG_97,chromosome
contig_24631,MAG_1852,chromosome
contig_24632,MAG_1854,chromosome
contig_24633,MAG_1852,unmapped
contig_24637,MAG_17,chromosome
contig_24643,MAG_133,chromosome
contig_24644,MAG_293,unmapped
contig_24648,MAG_229,chromosome
contig_24649,MAG_426,chromosome
contig_24651,MAG_1518,unmapped
contig_24653,MAG_1517,chromosome
contig_24658,MAG_481,chromosome
contig_24660,MAG_598,chromosome
contig_24662,MAG_596,chromosome
contig_24664,MAG_596,chromosome
contig_24666,MAG_598,chromosome
contig_24667,MAG_614,unmapped
contig_24670,MAG_598,chromosome
contig_24673,MAG_873,unmapped
contig_24674,MAG_1218,chromosome
contig_24675,MAG_453,unmapped
contig_24678,MAG_359,unmapped
contig_24680,MAG_113,chromosome
contig_24683,MAG_98,chromosome
contig_24690,MAG_1567,chromosome
contig_24691,MAG_1566,chromosome
contig_24692,MAG_298,chromosome
contig_24696,MAG_82,chromosome
contig_2470,MAG_1358,unmapped
contig_24703,MAG_188,chromosome
contig_24704,MAG_1118,unmapped
contig_24706,MAG_193,chromosome
contig_24708,MAG_1853,unmapped
contig_24711,MAG_1851,chromosome
contig_24712,MAG_1397,unmapped
contig_24724,MAG_217,unmapped
contig_24726,MAG_438,unmapped
contig_24727,MAG_611,unmapped
contig_2473,MAG_108,chromosome
contig_24735,contig_24735,phage
contig_24743,MAG_9,chromosome
contig_24746,MAG_1438,unmapped
contig_2475,MAG_557,chromosome
contig_24750,MAG_114,unmapped
contig_24751,MAG_90,chromosome
contig_24753,MAG_56,chromosome
contig_24754,MAG_1748,chromosome
contig_2476,MAG_1453,chromosome
contig_2477,MAG_1540,chromosome
contig_24771,MAG_1470,chromosome
contig_24775,MAG_841,unmapped
contig_24777,MAG_74,chromosome
contig_24784,contig_24784,plasmid
contig_24787,MAG_597,chromosome
contig_24789,Unbinned MAG,unmapped
contig_24790,MAG_62,chromosome
contig_24791,MAG_82,chromosome
contig_24794,MAG_82,chromosome
contig_24796,MAG_125,chromosome
contig_24797,MAG_82,unmapped
contig_24800,MAG_62,chromosome
contig_24804,MAG_62,unmapped
contig_24813,MAG_125,unmapped
contig_24815,MAG_82,unmapped
contig_24817,MAG_62,chromosome
contig_24820,MAG_298,chromosome
contig_24821,MAG_82,chromosome
contig_24823,MAG_62,chromosome
contig_24824,MAG_62,chromosome
contig_24827,MAG_609,unmapped
contig_24839,MAG_462,chromosome
contig_24840,MAG_1216,chromosome
contig_24841,MAG_82,chromosome
contig_24842,MAG_298,chromosome
contig_24844,MAG_62,unmapped
contig_24846,Unbinned MAG,unmapped
contig_24866,MAG_1552,unmapped
contig_24867,MAG_231,unmapped
contig_24878,MAG_145,chromosome
contig_24882,MAG_430,unmapped
contig_24887,MAG_990,chromosome
contig_24894,MAG_285,chromosome
contig_24895,MAG_285,chromosome
contig_24912,MAG_760,chromosome
contig_24914,MAG_885,chromosome
contig_24915,MAG_463,unmapped
contig_24918,MAG_760,chromosome
contig_24925,MAG_1679,chromosome
contig_24931,MAG_163,chromosome
contig_24936,MAG_1625,unmapped
contig_24946,Unbinned MAG,unmapped
contig_24948,MAG_76,chromosome
contig_2495,Unbinned MAG,unmapped
contig_24951,MAG_67,chromosome
contig_24954,MAG_57,chromosome
contig_24957,MAG_625,unmapped
contig_24968,MAG_373,chromosome
contig_24971,MAG_52,unmapped
contig_24972,MAG_1089,unmapped
contig_24976,MAG_26,chromosome
contig_24978,Unbinned MAG,unmapped
contig_24981,MAG_822,chromosome
contig_24982,MAG_1253,chromosome
contig_24984,MAG_576,chromosome
contig_2499,MAG_1870,chromosome
contig_24999,MAG_1344,unmapped
contig_25017,Unbinned MAG,unmapped
contig_25028,Unbinned MAG,unmapped
contig_25030,MAG_1517,chromosome
contig_25039,MAG_72,unmapped
contig_25040,MAG_72,unmapped
contig_25042,MAG_706,unmapped
contig_25044,MAG_1426,chromosome
contig_25046,Unbinned MAG,unmapped
contig_25048,MAG_124,chromosome
contig_25061,MAG_1,unmapped
contig_25082,MAG_107,chromosome
contig_25083,contig_25083,phage
contig_25084,MAG_43,chromosome
contig_25089,MAG_1758,unmapped
contig_25093,MAG_146,chromosome
contig_25095,MAG_219,chromosome
contig_25102,MAG_154,chromosome
contig_25120,MAG_519,chromosome
contig_25122,MAG_482,chromosome
contig_25129,MAG_977,unmapped
contig_25136,Unbinned MAG,unmapped
contig_25137,MAG_11,unmapped
contig_25148,MAG_549,chromosome
contig_25154,MAG_921,chromosome
contig_25160,MAG_63,chromosome
contig_25185,MAG_1494,chromosome
contig_25206,MAG_1898,unmapped
contig_25212,MAG_532,unmapped
contig_25218,contig_25218,phage
contig_25219,MAG_149,chromosome
contig_25225,MAG_1866,unmapped
contig_25229,MAG_361,unmapped
contig_2523,MAG_1574,unmapped
contig_25235,MAG_49,chromosome
contig_25236,MAG_39,unmapped
contig_25237,MAG_574,chromosome
contig_25241,MAG_477,chromosome
contig_25248,MAG_801,unmapped
contig_25249,MAG_749,unmapped
contig_25250,MAG_1145,unmapped
contig_25251,MAG_978,unmapped
contig_25252,MAG_978,unmapped
contig_25253,MAG_1146,unmapped
contig_25256,MAG_154,chromosome
contig_25257,MAG_1652,unmapped
contig_25268,MAG_175,chromosome
contig_25269,MAG_175,chromosome
contig_25270,MAG_1328,chromosome
contig_25271,MAG_1327,chromosome
contig_25272,MAG_1327,chromosome
contig_25273,MAG_1328,chromosome
contig_25277,MAG_1328,chromosome
contig_25279,MAG_1328,chromosome
contig_25284,MAG_1768,chromosome
contig_25285,MAG_1768,chromosome
contig_25295,MAG_1768,chromosome
contig_25298,MAG_1770,chromosome
contig_25300,MAG_1770,chromosome
contig_25301,MAG_1769,unmapped
contig_25303,MAG_290,chromosome
contig_25306,MAG_218,chromosome
contig_25313,contig_25313,phage
contig_25319,MAG_304,chromosome
contig_25320,MAG_402,unmapped
contig_25323,MAG_5,chromosome
contig_25325,MAG_251,chromosome
contig_25326,MAG_957,unmapped
contig_25327,MAG_1299,chromosome
contig_25335,MAG_1180,chromosome
contig_25339,MAG_246,chromosome
contig_25340,MAG_47,chromosome
contig_25355,MAG_1394,chromosome
contig_25357,MAG_1035,unmapped
contig_25365,MAG_367,unmapped
contig_25367,MAG_14,chromosome
contig_25372,MAG_776,chromosome
contig_25373,MAG_14,chromosome
contig_25385,MAG_14,chromosome
contig_25389,MAG_315,chromosome
contig_25394,MAG_193,chromosome
contig_25397,MAG_193,chromosome
contig_25401,MAG_959,chromosome
contig_25409,MAG_103,chromosome
contig_25415,MAG_149,chromosome
contig_25416,MAG_149,chromosome
contig_25420,MAG_1297,unmapped
contig_25421,MAG_241,chromosome
contig_25426,MAG_488,unmapped
contig_25429,MAG_276,chromosome
contig_25431,MAG_618,chromosome
contig_25432,MAG_71,chromosome
contig_25433,MAG_116,chromosome
contig_25435,MAG_1891,unmapped
contig_25449,MAG_1736,chromosome
contig_25460,MAG_721,unmapped
contig_25468,MAG_571,chromosome
contig_25472,MAG_164,unmapped
contig_25473,MAG_137,chromosome
contig_25474,MAG_1830,unmapped
contig_25481,contig_25481,phage
contig_25482,MAG_129,unmapped
contig_25484,MAG_624,chromosome
contig_25492,MAG_1496,chromosome
contig_25506,MAG_1497,chromosome
contig_25514,Unbinned MAG,unmapped
contig_25515,MAG_1444,chromosome
contig_25516,MAG_123,chromosome
contig_25517,MAG_53,chromosome
contig_25527,MAG_433,unmapped
contig_25529,MAG_1873,chromosome
contig_2553,MAG_1870,chromosome
contig_25531,Unbinned MAG,unmapped
contig_25534,MAG_338,chromosome
contig_25537,MAG_1823,chromosome
contig_25538,MAG_478,unmapped
contig_2554,MAG_1630,chromosome
contig_25542,MAG_1705,chromosome
contig_25550,MAG_962,chromosome
contig_25555,MAG_626,chromosome
contig_25560,Unbinned MAG,unmapped
contig_25570,MAG_1037,chromosome
contig_25575,MAG_764,unmapped
contig_25576,MAG_764,unmapped
contig_25581,MAG_11,chromosome
contig_25590,MAG_23,chromosome
contig_25592,MAG_211,chromosome
contig_25595,contig_25595,phage
contig_25596,MAG_108,unmapped
contig_25597,MAG_108,chromosome
contig_25602,contig_25602,phage
contig_25609,MAG_675,unmapped
contig_25615,MAG_178,chromosome
contig_25625,MAG_18,chromosome
contig_25635,MAG_96,chromosome
contig_25638,MAG_333,unmapped
contig_25645,MAG_12,unmapped
contig_25665,MAG_1,unmapped
contig_25666,MAG_1664,chromosome
contig_2567,MAG_554,unmapped
contig_25670,MAG_1055,unmapped
contig_25673,MAG_83,chromosome
contig_25676,MAG_425,unmapped
