Contig,Restriction sites,Length,Coverage,Self Contact
contig_10483,3213,332998,611,
contig_10484,682,40844,2,
contig_105,6917,741782,3463,
contig_10512,24241,2091755,2275,
contig_10514,63,3857,3,
contig_10515,6003,318178,1041,
contig_10525,612,83398,19,
contig_10526,1216,164720,26,
contig_10527,304,35273,13,
contig_10531,548,60492,46,
contig_10541,1665,206761,45,
contig_1055,85,31417,56674,
contig_10552,450,60445,11,
contig_10555,239,33505,11,
contig_10561,113,13534,2,
contig_10573,51471,3408848,10967,
contig_10576,128,17470,67,
contig_10580,18943,3639850,24574,
contig_10589,817,99355,12,
contig_1059,961,149787,604,
contig_10595,3285,492935,3011,
contig_10597,379,39974,77,
contig_1060,1549,97935,341,
contig_10607,172,50302,37,
contig_10618,1708,202146,1668,
contig_10619,190,25542,4,
contig_10624,323,27148,47,
contig_10627,14181,943256,583,
contig_1064,383,53948,56,
contig_10646,719,89347,54,
contig_10652,448,58538,73,
contig_10655,548,81645,140,
contig_1066,904,116907,1293,
contig_10662,1452,159980,269,
contig_10675,2060,194056,423,
contig_10677,341,35582,96,
contig_10679,767,74623,129,
contig_10681,169,15692,2,
contig_10683,1097,111582,40,
contig_10684,448,72229,335,
contig_10685,354,39327,162,
contig_10686,1250,128583,54,
contig_10687,1053,110695,90,
contig_10690,1681,87355,52,
contig_10692,2637,162388,104,
contig_10693,23968,1425409,1203,
contig_10696,5349,548078,488,
contig_10699,335,48004,85,
contig_10701,2533,245549,1309,
contig_10708,931,126957,133,
contig_10717,294,37424,114,
contig_10719,1042,169075,197,
contig_10730,1952,313098,6696,
contig_10731,200,35576,44,
contig_10735,2364,171895,236,
contig_10736,15717,1342247,4873,
contig_10740,542,60135,27,
contig_10741,406,36663,119,
contig_10742,736,91514,307,
contig_10743,377,43317,3,
contig_10745,4760,591200,12670,
contig_10756,169,16356,3,
contig_10757,276,30232,158,
contig_1076,300,21879,5,
contig_10770,1360,143840,167,
contig_10771,52,5715,8,
contig_10786,2464,393529,199,
contig_10787,5220,327538,1386,
contig_10797,213,46461,165,
contig_10799,570,89075,118,
contig_10801,2201,450308,5332,
contig_10807,3220,334584,1376,
contig_10822,554,59907,71,
contig_10826,3143,236993,48,
contig_10828,2340,333145,1642,
contig_10833,7523,745655,706,
contig_10834,7923,780385,720,
contig_10839,13996,1422465,918,
contig_10840,14309,1435835,833,
contig_10842,11474,1178707,530,
contig_10843,16899,1764502,1089,
contig_10844,8761,902315,640,
contig_10846,2864,289510,138,
contig_10855,438,31827,15,
contig_10857,443,53251,112,
contig_10864,686,142322,82,
contig_10867,255,29150,192,
contig_1087,752,54356,113,
contig_10870,598,56287,145,
contig_10871,366,33526,11,
contig_10873,1251,161305,351,
contig_10875,743,68102,322,
contig_10876,8338,807289,3780,
contig_10879,35013,2931648,13962,
contig_10881,3075,150601,100,
contig_10882,1249,85351,75,
contig_10890,1532,187421,53,
contig_10895,306,26793,115,
contig_109,3152,353492,272,
contig_10908,607,77675,195,
contig_10909,196,22097,34,
contig_10912,471,64210,60,
contig_10913,1491,148910,125,
contig_10914,2903,288196,1105,
contig_10915,101,15388,8,
contig_10919,11291,1226950,558,
contig_10922,1148,147519,2232,
contig_10923,111,14731,1,
contig_10924,821,90983,33,
contig_10925,322,40844,6,
contig_10927,338,41927,64,
contig_10929,355,45878,101,
contig_10931,471,67109,99,
contig_10932,302,53925,111,
contig_10933,1425,217357,101,
contig_10945,804,104109,174,
contig_10949,348,31141,42,
contig_10953,266,42354,1067,
contig_10966,6669,818111,2519,
contig_10969,191,22355,20,
contig_1097,27575,3608307,25020,
contig_10972,285,58960,68,
contig_10975,4817,496594,450,
contig_1098,10613,1373622,298,
contig_11004,184,57085,997,
contig_11007,504,159208,270,
contig_11008,1059,49637,14,
contig_1101,404,49025,2,
contig_11011,655,65791,82,
contig_11016,311,48744,352,
contig_11022,2689,240302,1031,
contig_11028,5137,384244,129,
contig_11034,752,54415,171,
contig_11036,663,84371,2933,
contig_11039,1088,127187,167,
contig_11041,518,60601,32,
contig_1105,11823,1187228,1121,
contig_11050,4558,614855,6888,
contig_11052,432,60823,142,
contig_11055,411,51071,68,
contig_11059,709,68577,94,
contig_11067,2120,316332,283,
contig_11070,3602,441906,2817,
contig_11074,996,120107,348,
contig_11076,5869,394751,65,
contig_1108,3408,248886,120,
contig_11080,13336,2419043,29293,
contig_11093,818,136072,438,
contig_11103,334,32806,75,
contig_11113,548,31203,14,
contig_11115,3876,397912,555,
contig_11117,14620,1668456,5294,
contig_11120,228,31552,30,
contig_11126,4612,345315,293,
contig_11133,1212,174295,555,
contig_11134,1063,109876,262,
contig_11137,780,78826,145,
contig_11139,1810,291627,1070,
contig_11144,1920,347287,1211,
contig_11150,7093,801945,3644,
contig_11159,277,48662,210,
contig_11164,655,67011,18,
contig_11176,1253,186765,343,
contig_11177,1134,85235,436,
contig_11185,582,97578,14,
contig_11187,155,31859,104,
contig_11189,23,2478,1,
contig_11190,1597,185193,1121,
contig_11191,939,104236,333,
contig_11192,752,137788,452,
contig_11194,15726,1198217,459,
contig_11199,531,53750,32,
contig_11200,5149,350167,241,
contig_11204,1008,121514,74,
contig_11206,840,70629,62,
contig_11211,3122,503739,124,
contig_11212,8373,1398394,905,
contig_11214,675,68445,13,
contig_11216,545,85812,270,
contig_1122,959,101597,54,
contig_11220,159,31097,20,
contig_11221,1735,252026,592,
contig_11223,87,11340,16,
contig_11224,1642,342480,1020,
contig_11231,1026,98176,37,
contig_11245,777,99596,154,
contig_11248,1208,211207,1254,
contig_11255,2521,239238,347,
contig_11258,10605,1106901,15286,
contig_11264,2015,124211,159,
contig_11267,385,22352,6,
contig_11268,2702,147188,150,
contig_11271,1825,234476,1076,
contig_11273,684,94551,77,
contig_11277,1590,107373,268,
contig_11280,3114,402594,129,
contig_11281,4734,652573,306,
contig_11285,1606,194497,408,
contig_11287,609,82212,62,
contig_11288,554,65896,599,
contig_11289,975,131798,939,
contig_11295,3899,666839,483,
contig_11298,3986,1175496,11489,
contig_11310,3996,584007,5734,
contig_11317,165,23422,783,
contig_11320,1355,227792,503,
contig_11323,822,102411,41271,
contig_11324,231,25516,110,
contig_11327,1755,192186,24848,
contig_11334,2494,583834,5042,
contig_11348,555,69907,92,
contig_11354,544,87755,89,
contig_11370,2514,283773,305,
contig_11376,390,68166,459,
contig_11384,13196,2214976,11918,
contig_11395,2875,308976,321,
contig_11406,1551,132729,855,
contig_11411,646,148865,840,
contig_11412,1057,113998,157,
contig_11428,347,32683,17,
contig_11433,99,15258,594,
contig_11435,108,16830,159,
contig_11441,3709,599080,5456,
contig_11443,4418,442954,984,
contig_11444,216,44035,54,
contig_11452,809,62313,1076,
contig_11454,317,48292,60,
contig_11459,1792,186483,1344,
contig_11464,322,46246,61,
contig_11466,96,16581,7,
contig_11477,529,62644,50,
contig_11478,533,29434,40,
contig_11479,299,16404,30,
contig_11480,895,63099,111,
contig_11481,454,35294,34,
contig_11482,498,45849,44,
contig_11483,12749,1636310,10814,
contig_11484,182,19744,8,
contig_11487,20368,1285112,139538,
contig_11491,7569,1293471,6120,
contig_11496,11429,1359779,6435,
contig_11498,2601,401028,3636,
contig_11503,233,27893,152,
contig_11505,2094,241508,69,
contig_11513,425,54548,20,
contig_11514,4058,486033,156,
contig_11522,2104,440727,2126,
contig_11524,788,112772,112,
contig_11525,814,84255,757,
contig_11526,801,75811,195,
contig_11535,588,61878,28,
contig_11536,1220,108275,57,
contig_11542,246,37048,64,
contig_11543,581,61213,23,
contig_11544,16517,1742754,7569,
contig_11555,1808,283929,1678,
contig_11561,10,1533,41,
contig_11563,8774,1196057,22990,
contig_11564,402,47649,56,
contig_11566,486,54368,134,
contig_11572,357,33804,7,
contig_11575,177,18466,19,
contig_11579,5114,495524,303,
contig_11614,624,91184,2286,
contig_11615,127,16900,1594,
contig_11619,50,20853,1597,
contig_11620,834,92124,116,
contig_11621,2938,521152,2166,
contig_11629,237,40132,426,
contig_11632,227,62067,145,
contig_11638,736,90847,115,
contig_11640,17048,2492266,31629,
contig_11650,304,42369,43,
contig_11666,697,80703,149,
contig_11674,482,48480,63,
contig_11676,8455,1498891,3262,
contig_11684,113,13465,7,
contig_11693,1192,118277,212,
contig_11696,507,110575,1053,
contig_11706,137,8111,1,
contig_11709,498,31654,129,
contig_11716,336,18120,11,
contig_11717,346,19911,14,
contig_11718,22537,1305553,2952,
contig_11719,479,27914,20,
contig_1172,1442,182797,43,
contig_11721,473,34707,233,
contig_11723,150,10072,1,
contig_11728,134,9249,35,
contig_1173,1208,155410,47,
contig_11730,4413,449363,699,
contig_11733,585,52374,197,
contig_11739,83,15119,1,
contig_11742,101,19145,3,
contig_11767,144,16022,1,
contig_11771,146,19348,14,
