Contig,Restriction sites,Length,Coverage,Self Contact
contig_18756,232,41085,63,
contig_18766,527,60589,115,
contig_1877,280,23719,15,
contig_18787,578,72892,193,
contig_18788,1489,173718,18497,
contig_18792,185,20604,151,
contig_18798,217,29322,300,
contig_18801,253,33231,115,
contig_18805,147,22807,212,
contig_18807,128,16501,58,
contig_18809,75,9627,49,
contig_18811,312,38246,71,
contig_18813,222,30856,1394,
contig_18815,2205,321808,2402,
contig_18823,234,16011,40,
contig_18827,633,87603,75,
contig_18829,281,32953,76,
contig_1883,1151,133581,371,
contig_18831,1618,188655,120,
contig_18838,643,40239,9,
contig_18839,654,39868,10,
contig_18840,1354,84586,313,
contig_18845,1408,86576,82,
contig_18855,430,26518,1,
contig_18862,144,29804,5,
contig_18863,550,89858,202,
contig_18865,325,53342,115,
contig_18875,510,58353,24,
contig_18883,1629,103171,42,
contig_18885,104,12549,21,
contig_18890,554,65839,41,
contig_18892,603,76336,48,
contig_18893,146,38327,6,
contig_18895,340,38895,94,
contig_18897,485,64188,48,
contig_1890,2979,408052,512,
contig_18920,222,28392,1539,
contig_18923,2089,195093,382,
contig_18931,301,81684,16,
contig_18938,1103,102131,481,
contig_18939,330,31331,501,
contig_1894,8727,2718687,149857,
contig_18941,550,54403,211,
contig_18942,720,57872,66,
contig_18945,593,60634,79,
contig_18949,1937,213169,205,
contig_18952,718,86070,152,
contig_18954,378,47730,46,
contig_18955,1459,161184,70,
contig_18961,1598,125245,2151,
contig_18973,4007,395754,457,
contig_19017,1425,109500,30,
contig_19029,1567,126197,393,
contig_19035,422,55693,92,
contig_19039,355,34677,67,
contig_1904,4642,614568,5614,
contig_19040,145,50736,256,
contig_19042,9681,1306439,41861,
contig_19044,390,45874,316,
contig_19045,162,21689,41,
contig_19046,222,25967,36,
contig_19056,87,12176,96,
contig_19069,1198,154138,208,
contig_1907,2737,343631,2354,
contig_19078,2233,194299,73,
contig_19089,604,64824,151,
contig_19091,2219,418967,2232,
contig_19093,237,40397,84,
contig_19100,641,42927,108,
contig_19101,633,68660,33,
contig_19102,159,22029,67,
contig_19103,1173,119478,214,
contig_19107,845,93211,37,
contig_1911,1068,86045,31,
contig_19114,455,53917,46,
contig_1912,15382,1269991,17028,
contig_19122,393,37438,63,
contig_19126,471,103265,391,
contig_19127,1036,126126,97,
contig_19135,1416,124887,316,
contig_19136,375,29944,12,
contig_19140,492,37996,77,
contig_19146,279,37802,83,
contig_19148,95,22325,17,
contig_19149,2449,213450,174,
contig_19150,764,84800,214,
contig_19158,4798,460048,1057,
contig_19164,1804,145941,161,
contig_19170,1663,185102,267,
contig_19173,710,78257,42,
contig_19184,6401,561648,334,
contig_19185,1337,67333,26,
contig_1919,2808,331586,813,
contig_19190,352,34018,85,
contig_19193,662,77208,290,
contig_19195,143,21746,106,
contig_19196,2935,142952,53,
contig_19200,395,44932,69,
contig_19206,11855,870763,293,
contig_19215,220,13970,542,
contig_19223,393,35167,42,
contig_19228,1107,200636,200,
contig_19246,1697,201165,83,
contig_19253,772,109787,721,
contig_19258,1105,147470,647,
contig_19264,205,24813,9,
contig_19265,678,166983,22,
contig_19266,84,20779,2,
contig_19270,1198,247196,597,
contig_19274,4011,391251,7780,
contig_19275,57,5382,274,
contig_19277,223,21936,214,
contig_19279,230,23267,22,
contig_19281,3627,441230,562,
contig_19286,563,75364,63,
contig_19291,190,19652,18,
contig_19292,296,77642,31,
contig_19298,3743,522889,388,
contig_19305,161,29294,50,
contig_19307,810,64236,186,
contig_19308,577,40579,116,
contig_19310,758,97677,209,
contig_19311,1716,193840,432,
contig_19313,2152,308007,1108,
contig_19318,585,38358,32,
contig_19328,121,24559,30,
contig_19332,874,54411,2744,
contig_19336,2118,185706,268,
contig_19342,759,88179,128,
contig_19344,291,21914,246,
contig_19348,2319,138776,190,
contig_19349,547,48335,13,
contig_1935,512,74341,1048,
contig_19350,16728,2396591,78757,
contig_19351,1077,149769,395,
contig_19353,82,17678,26,
contig_19355,330,41464,5,
contig_19356,373,51025,80,
contig_19360,170,29363,51,
contig_19363,477,142571,50800,
contig_19369,505,77011,260,
contig_19370,134,35141,169,
contig_19374,42321,2136733,2947,
contig_19376,4395,224929,158,
contig_19392,663,75606,147,
contig_19395,475,41604,86,
contig_19401,1237,160301,142,
contig_19409,359,52296,94,
contig_1941,1252,206168,1119,
contig_19425,12014,1208768,4224,
contig_19428,1424,117932,173,
contig_1943,1020,142613,1307,
contig_19431,326,38220,759,
contig_19433,4988,502855,1158,
contig_19437,352,49250,14,
contig_19439,259,31718,295,
contig_19454,1661,171900,553,
contig_19457,545,81698,418,
contig_19470,223,25445,3,
contig_19477,303,35572,32,
contig_1948,869,122531,537,
contig_19481,7061,823219,4459,
contig_19496,1463,246831,259,
contig_19497,432,62751,140,
contig_19504,536,44468,124,
contig_19505,1280,171517,5506,
contig_19506,1043,139583,878,
contig_19508,299,38080,40,
contig_19511,477,56680,22,
contig_19512,1428,187960,14478,
contig_19513,1223,154860,4795,
contig_19514,433,56459,22765,
contig_19518,1720,224760,156,
contig_19521,961,104728,987,
contig_19527,3460,212638,435,
contig_19537,149,56551,151,
contig_19554,1280,113242,93,
contig_19571,3822,458230,824,
contig_19577,3701,190059,66,
contig_19578,7671,385402,180,
contig_19591,293,42321,90,
contig_19592,2793,440475,598,
contig_19595,1202,57390,1706,
contig_19596,107,5779,4,
contig_19600,4837,750048,1464,
contig_19609,30961,3209028,18674,
contig_19610,605,62243,68,
contig_19611,504,81594,218,
contig_19613,2046,255059,909,
contig_19614,513,34311,609,
contig_19616,2336,331517,37,
contig_19618,18625,2952503,19817,
contig_19624,193,35571,24,
contig_19626,220,21650,57,
contig_19628,658,103492,246,
contig_19629,212,23751,8,
contig_1963,382,74419,195,
contig_19633,1327,245145,402,
contig_19634,1450,312943,1128,
contig_19636,1585,330479,370,
contig_19638,2440,255540,64,
contig_19664,313,39056,59,
contig_19670,295,48888,70,
contig_19672,205,33322,91,
contig_19674,1082,154761,151,
contig_19683,530,66626,1882,
contig_19688,620,77571,110,
contig_19692,667,71344,248,
contig_19693,20016,1780592,60573,
contig_19694,1550,172147,262,
contig_19697,487,49024,163,
contig_19700,306,35390,60,
contig_19701,483,54716,5,
contig_19711,981,159422,170,
contig_19712,3302,432482,1119,
contig_19715,143,20840,1,
contig_19727,1416,83979,87,
contig_19729,389,36330,60,
contig_19730,9416,1233547,12375,
contig_19731,1039,155255,409,
contig_19733,1328,144196,85,
contig_19737,961,96944,72,
contig_19740,923,107869,664,
contig_19741,471,60226,172,
contig_19743,3744,410054,4844,
contig_19753,389,49169,14,
contig_19758,50,9740,17,
contig_19761,524,60769,24,
contig_19765,2331,200531,703,
contig_19766,758,73111,292,
contig_19767,475,48550,41,
contig_19768,680,69328,29,
contig_19769,309,24968,109,
contig_19770,333,33379,47,
contig_19780,1209,197970,251,
contig_19794,114,11795,18,
contig_19795,447,30798,182,
contig_19801,2045,334975,100,
contig_19803,328,48967,40,
contig_1981,1351,247594,1850,
contig_1982,236,59462,95,
contig_19821,313,68237,47,
contig_19833,6046,669700,14703,
contig_19837,279,28711,50,
contig_19838,16967,2200286,12163,
contig_19866,3506,398508,532,
contig_19871,452,41666,41,
contig_19872,84,27459,1740,
contig_19885,511,87146,251,
contig_19886,361,66418,149,
contig_19888,501,39846,161,
contig_19889,2783,207443,96,
contig_1989,4022,396659,2004,
contig_1990,3668,335423,2700,
contig_19901,4542,256617,46,
contig_19905,2883,173503,65,
contig_19906,697,87847,158,
contig_19911,273,44112,79,
contig_19913,581,77624,96,
contig_19915,127,26987,3,
contig_19916,629,99260,686,
contig_19922,1412,179228,264,
contig_19923,360,50565,113,
contig_19925,790,97465,169,
contig_1993,1155,207027,212,
contig_19934,290,29397,166,
contig_19936,227,33385,50,
contig_19938,253,46589,81,
contig_19952,267,24115,43,
contig_19956,1115,154214,193,
contig_19960,745,73111,81,
contig_19961,352,37183,200,
contig_19962,397,36433,499,
contig_19963,670,81287,362,
contig_19972,2871,316748,2210,
contig_19973,2631,267416,128,
contig_19984,669,103303,125,
contig_19986,497,65868,23,
contig_19988,1091,105845,239,
contig_1999,422,47695,39,
contig_19997,536,58572,462,
contig_19999,5829,502189,2411,
contig_20000,2994,308039,1632,
contig_20010,2583,127750,55,
contig_2003,3626,631435,1480,
contig_20030,4091,335734,50,
contig_20033,364,66223,65,
contig_20038,106,11432,44,
contig_20039,221,27033,78,
contig_20042,1050,122730,158,
contig_20047,791,74112,55,
contig_20048,484,72803,256,
contig_20053,78,17932,743,
contig_20055,256,31814,77,
contig_20056,500,55966,150,
contig_20058,55,23420,69,
contig_20066,2420,153071,726,
contig_2007,256,47292,141,
contig_20071,713,76776,37,
contig_20077,4172,492440,2660,
contig_2008,972,116041,127,
contig_20084,428,55664,90,
contig_20085,842,76575,1581,
contig_20086,1675,180306,443,
contig_20097,390,76325,379,
contig_20098,638,109023,672,
contig_2010,1636,209529,196,
contig_20106,3237,652453,1952,
contig_20109,239,30368,7,
contig_20115,4143,390609,1084,
contig_20123,253,33115,537,
contig_20126,1024,123039,2393,
contig_2013,3193,515814,328,
contig_20135,450,59616,179,
contig_20137,189,13102,47,
contig_20139,703,54479,32,
contig_20141,961,113923,183,
contig_20149,751,94636,108,
contig_20150,6479,828827,1505,
contig_20155,926,112494,813,
contig_20167,408,32549,20,
contig_20169,5797,529269,2301,
contig_20172,905,114094,256,
contig_20178,2048,211998,340,
contig_20185,315,40574,75,
contig_20186,383,39881,81,
contig_20188,195,21547,9,
contig_20192,683,92225,160,
contig_20194,487,57397,134,
contig_20195,7676,610338,895,
contig_20197,5170,421223,132,
contig_2020,4321,430440,2814,
contig_20211,1161,81832,34,
contig_20236,880,103773,16,
contig_2024,325,33292,8,
contig_20251,8097,968113,3365,
contig_20254,1435,173203,182,
contig_20255,615,67226,405,
contig_2026,3787,745032,224,
contig_20263,490,70714,31,
contig_2027,716,96099,216,
contig_20271,258,25763,60,
contig_20276,2113,216723,117,
contig_20277,2446,252817,482,
contig_2028,16484,1921670,30823,
contig_20281,305,38111,66,
contig_20294,2479,459003,460,
contig_20295,3488,335727,259,
contig_20304,19941,1101661,1589,
contig_20309,212,51097,13562,
contig_2031,242,34375,35,
contig_20321,743,106542,121,
contig_20325,1419,143361,82,
contig_20333,1225,214203,1110,
contig_20337,210,50228,24,
contig_20342,167,29649,31,
contig_20343,419,71064,117,
contig_20351,482,47736,27,
contig_20354,819,118849,108,
contig_20356,1830,267496,331,
contig_20358,4346,1169295,251,
contig_20359,963,98204,254,
contig_20362,1629,168258,1127,
contig_20381,744,79794,105,
contig_20387,1438,161766,198,
contig_20389,176,19899,48,
contig_20392,614,79730,110,
contig_20396,616,64376,41,
contig_20397,695,97439,187,
contig_20398,537,62107,86,
contig_20399,994,87529,104,
contig_20401,1672,176022,194,
contig_20402,632,61225,37,
contig_20405,1087,126223,92,
contig_20408,255,29223,68,
contig_2041,1477,97092,269,
contig_20416,6243,1213396,4160,
contig_2042,3757,442343,1594,
contig_20423,719,56349,446,
contig_20426,273,38026,76,
contig_20429,100,16435,13,
contig_20431,372,55779,34,
contig_20432,910,140224,571,
contig_20442,235,32658,37,
contig_20445,1664,158307,320,
contig_20449,680,66081,98,
contig_20450,184,21938,8,
contig_20451,220,22628,6,
contig_20455,1108,106065,245,
contig_20457,1788,190045,180,
contig_2046,366,31632,48,
contig_20462,6190,578883,3396,
contig_20474,741,50298,43,
contig_20475,781,51107,22,
contig_20476,694,46902,8,
contig_20478,1698,112890,74,
contig_20479,2751,183618,870,
contig_20480,1638,108474,97,
contig_20483,297,18155,4,
contig_20486,1344,86352,74,
contig_20487,1104,75671,50,
contig_2049,12701,2199990,22046,
contig_20493,1721,109132,19,
contig_20494,2400,154445,220,
contig_20495,765,106049,164,
contig_20497,671,47962,7,
contig_2051,631,71834,131,
contig_20510,1811,161424,75,
contig_20511,1833,158447,155,
contig_20512,4688,467357,980,
contig_20513,206,25533,65,
contig_20516,486,54856,77,
contig_20517,198,15531,80,
contig_2052,1331,141672,2221,
contig_20523,386,46856,348,
contig_20526,570,84390,106,
contig_20527,279,26090,27,
contig_20529,854,133302,243,
contig_2053,1492,158295,822,
contig_2054,255,22834,134,
contig_20547,1015,143957,176,
contig_20553,6642,463211,224,
contig_20556,317,46997,79,
contig_20560,706,65060,339,
contig_20565,439,34732,499,
contig_20571,620,39936,21,
contig_20575,1220,76031,242,
contig_20580,331,37172,31,
contig_20588,658,78484,97,
contig_20589,762,81303,104,
contig_2059,10658,909758,85385,
contig_206,5571,1708554,66250,
contig_20604,1383,189344,275,
contig_20610,301,25438,16,
contig_20612,110,10824,17,
contig_20613,1770,162937,16280,
contig_20614,79,10560,114,
contig_20616,42,3635,2,
contig_20618,165,14574,11,
contig_20620,2550,293139,1433,
contig_20624,342,53703,432,
contig_20627,516,59356,10,
contig_2063,7385,1066584,5988,
contig_20641,11186,1209340,5704,
contig_20647,1304,132258,372,
contig_2065,4566,530328,3214,
contig_20654,4098,362487,500,
contig_2066,199,34635,105,
contig_20660,635,48797,40,
contig_2067,521,51694,77,
contig_20674,473,38455,57,
contig_2068,250,27398,87,
contig_20685,2337,356824,1052,
contig_20689,226,33561,40,
contig_2069,6099,729748,7236,
contig_2070,3289,431006,2450,
contig_20700,235,24860,52,
contig_20701,1032,123020,114,
contig_20704,4308,512796,2580,
contig_20719,114,16830,10,
contig_2072,25057,2586421,38054,
contig_20722,54,25241,316,
contig_20743,1294,102270,71,
contig_20744,405,36502,30,
contig_20746,309,34316,51,
contig_20750,1765,269203,1489,
contig_20755,756,72952,209,
contig_20756,552,61171,68,
contig_20757,35,5315,35,
contig_20758,508,74914,12,
contig_20759,88,17433,29,
contig_20760,153,20553,13,
contig_20762,6280,816004,5195,
contig_2077,292,48846,128,
contig_20771,424,53480,121,
contig_20772,3619,185719,87,
contig_20774,220,32138,54,
contig_20775,546,148880,395,
contig_20781,2131,142378,4228,
contig_20785,1608,229776,565,
contig_20786,272,27093,4,
contig_20790,641,71659,294,
contig_20792,108,22596,83,
contig_20793,122,13775,40,
contig_20794,846,76045,161,
contig_20814,399,61257,772,
contig_20815,309,40648,35,
contig_20818,215,40973,139,
contig_2082,4993,1167011,10236,
contig_20831,3874,469361,582,
contig_20853,502,71515,138,
contig_20854,205,32915,71,
contig_20858,1248,193420,852,
contig_20859,1532,234486,305,
contig_20861,148,24839,33,
contig_20867,10382,1097474,3509,
contig_20870,10896,1208016,4075,
contig_20871,161,25079,65,
contig_20878,5848,1047047,540,
contig_20893,6537,456354,112,
contig_20896,420,55646,339,
contig_20903,2264,224974,562,
contig_20906,1800,183312,98,
contig_20907,5984,671219,2893,
contig_20908,382,73689,264,
contig_20911,1187,149025,337,
contig_20913,5875,696848,2740,
contig_20915,136,29781,150,
contig_20917,3484,289510,162,
contig_20918,3028,251209,30,
contig_20927,460,62043,10,
contig_20930,1855,207861,556,
contig_20937,200,33513,35,
contig_20962,1252,133931,185,
contig_20966,159,35877,400,
contig_20972,5092,677330,8142,
contig_20974,329,51497,28,
contig_20987,1948,282811,756,
contig_20988,2433,310685,1194,
contig_20994,1515,295268,73,
contig_21008,116,23424,55,
contig_21010,8985,509537,712,
contig_21012,1287,73404,111,
contig_21013,2456,135516,103,
contig_21024,1184,127960,268,
contig_21025,263,24905,15,
contig_21027,251,49730,690,
contig_21029,267,25884,20,
contig_21033,64,8837,24,
contig_21035,958,116521,136,
contig_21036,285,35072,31,
contig_21037,432,65199,39,
contig_21046,7238,691154,1454,
contig_21047,163,19333,13,
contig_21060,467,85609,125,
contig_21062,122,27309,43,
contig_21064,4376,421630,497,
contig_21065,280,31923,49,
contig_21069,217,64200,94,
contig_21073,701,169633,720,
contig_21077,869,75335,163,
contig_21081,408,35139,50,
contig_21087,193,18481,10,
contig_21090,2890,398774,3140,
contig_21091,175,19994,40,
contig_21094,138,22620,25,
contig_21097,3482,441431,1104,
contig_211,1232,80688,341,
contig_2110,1765,86557,1277,
contig_21106,4365,578247,3224,
contig_21107,114,15958,61,
contig_2111,1494,80122,73,
contig_21113,7299,373530,342,
contig_21118,463,98912,20,
contig_21119,8972,2240314,11840,
contig_21134,5846,410843,214,
contig_21138,9409,890118,2508,
contig_21140,5764,585263,1735,
contig_21146,159,14129,9,
contig_21155,284,34003,39,
contig_21181,776,135162,170,
contig_21187,225,26154,94,
contig_21196,460,54730,108,
contig_2121,1062,103557,25,
contig_21213,1682,234507,271,
contig_21220,183,20690,101,
contig_21221,433,69363,121,
contig_21226,321,71127,134,
contig_21229,358,30325,54,
contig_21234,280,38109,159,
contig_21236,846,112281,10,
contig_2124,839,82941,16,
contig_21242,512,79281,178,
contig_21246,363,60722,5,
contig_21247,205,38823,172,
contig_21251,176,24435,23,
contig_21254,368,49171,171,
contig_21256,1665,159912,1637,
contig_21267,649,85526,260,
contig_21303,280,37747,9,
contig_21305,4638,556816,5671,
contig_21313,480,30918,19,
contig_21323,1228,79603,48,
contig_21326,265,53606,44,
contig_21346,757,40690,59,
contig_2135,392,33071,494,
contig_21364,1285,85000,447,
contig_21368,356,79182,135,
contig_2137,127,18107,5,
contig_21371,862,83053,70,
contig_21372,325,50401,106,
contig_21384,288,47296,54,
contig_21385,608,54257,81,
contig_21388,2300,241421,676,
contig_21389,154,29514,60,
contig_2139,20469,2973288,28224,
contig_21390,1464,215718,169,
contig_21393,2353,226094,174,
contig_21399,659,68948,127,
contig_21403,161,23180,18,
contig_21404,3371,477451,2926,
contig_21410,566,72347,801,
contig_21414,2410,185782,110,
contig_21416,1491,175195,219,
contig_21418,3322,354867,1414,
contig_21419,294,36299,27,
contig_2142,3676,541174,4357,
contig_21427,248,32710,78,
contig_2143,482,54960,102,
contig_21436,330,91146,60,
contig_21443,1450,351897,697,
contig_21444,1691,421917,543,
contig_2146,804,63748,242,
contig_21461,274,37162,69,
contig_21464,594,52846,24,
contig_21467,931,94227,99,
contig_21469,663,55034,163,
contig_2147,2279,183152,4844,
contig_21470,228,21448,145,
contig_21473,5608,404330,344,
contig_21481,509,71642,162,
contig_21486,382,62868,81,
contig_21487,185,20149,29,
contig_21489,563,60361,100,
contig_2149,704,60831,306,
contig_21491,113,15982,68,
contig_21492,256,30904,50,
contig_21493,367,50169,179,
contig_21494,263,30548,61,
contig_21496,59,7840,4,
contig_21498,77,9726,25,
contig_215,750,40490,23,
contig_21503,900,103769,354,
contig_21504,1044,186275,2356,
contig_21505,1903,338489,47911,
contig_21508,11026,1097601,2120,
contig_2151,412,38425,39,
contig_21511,35,9840,519,
contig_21512,540,74801,259,
contig_21513,4467,633299,6892,
contig_21514,208,30214,275,
contig_21528,14716,1917462,11042,
contig_2153,263,26637,79,
contig_2154,3426,374611,23131,
contig_21545,1989,212822,135,
contig_21547,202,19007,12,
contig_21550,4575,521505,3959,
contig_21552,819,119584,186,
contig_21564,1577,189198,3955,
contig_21569,1247,133957,266,
contig_21573,344,46420,18,
contig_21579,669,99993,19,
contig_2158,582,55887,53,
contig_21583,207,57638,95,
contig_2159,757,129727,121,
contig_21590,780,62734,54,
contig_21597,3919,254775,92,
contig_2160,25,1781,4,
contig_21604,157,21052,23,
contig_2162,438,61474,11,
contig_21623,1195,176788,264,
contig_21624,2022,299628,1014,
contig_2163,114,18364,16,
contig_21631,343,38184,43,
contig_21632,1393,168826,446,
contig_21633,580,81568,159,
contig_21635,201,35467,59,
contig_21646,258,37233,70,
contig_21647,3710,288945,237,
contig_21650,7533,402786,1228,
contig_21654,1703,191005,224,
contig_21666,619,62659,1043,
contig_21668,1019,54580,28,
contig_21677,341,21882,886,
contig_21678,13611,2611446,7725,
contig_21680,542,65657,299,
contig_21681,1047,177714,837,
contig_21687,639,88152,62,
contig_21690,396,33151,185,
contig_21693,2100,233730,1194,
contig_21695,239,25819,26,
contig_21696,1343,184052,337,
contig_21701,985,56978,288,
contig_21706,1451,179676,248,
contig_2171,221,12386,36,
contig_21710,20387,3170753,90496,
contig_21711,2840,600542,323,
contig_21716,1341,115734,65,
contig_2172,657,62865,57,
contig_21720,13353,1494616,5616,
contig_21723,438,56372,118,
contig_21725,2257,248417,1039,
contig_21727,839,92907,249,
contig_21728,2197,263647,538,
contig_21731,794,103183,66,
contig_21738,10043,1705028,1300,
contig_2174,286,28181,186,
contig_21742,1022,118429,119,
contig_21745,2813,460650,303,
contig_21752,671,60239,336,
contig_21755,10094,1394360,3578,
contig_21757,518,39807,30,
contig_21761,96,27533,134,
contig_21764,206,30691,22,
contig_21774,443,53986,32,
contig_21775,1301,137970,421,
contig_21779,5321,377761,365,
contig_2179,5985,392153,71272,
contig_21792,601,78273,15,
contig_21794,2309,254258,31,
contig_2180,1704,120391,832,
contig_21800,417,72851,311,
contig_21802,527,61202,76,
contig_21804,190,20067,28,
contig_21805,327,42906,41,
contig_2181,769,50882,72,
contig_21817,88,10144,14,
contig_2182,267,15863,58,
contig_21822,149,38869,162,
contig_21823,416,27479,102,
contig_21824,1105,140134,131,
contig_21825,244,24668,51,
contig_2183,523,32862,113,
contig_21830,1131,110999,48,
contig_21839,2615,359760,373,
contig_2184,368,24083,68,
contig_21841,417,50930,62,
contig_21843,169,38455,86,
contig_2185,165,8744,4,
contig_21859,4030,208984,145,
contig_21862,3054,181981,2702,
contig_21875,72,11982,87,
contig_21877,1276,180672,156,
contig_21879,1509,173889,243,
contig_21881,455,78567,145,
contig_21883,1287,212995,2515,
contig_21885,249,24641,63,
contig_2189,37,3517,109,
contig_21899,1058,109935,940,
contig_2190,52,5111,77,
contig_21906,696,65874,104,
contig_2191,24403,2149661,3844,
contig_21913,96,15457,27,
contig_21917,1719,123729,141,
contig_2193,8333,1058181,1996,
contig_21939,290,37989,82,
contig_2194,23669,2198185,9473,
contig_21940,137,32864,89,
contig_21941,223,60006,230,
contig_21942,386,124202,263,
contig_21946,1457,187050,389,
contig_21948,296,28402,82,
contig_21968,496,45083,16,
contig_21971,8514,1443003,43712,
contig_21974,12207,721421,443,
contig_22000,135,35175,130,
contig_22001,1902,196728,313,
contig_22002,242,14502,23,
contig_22004,18319,1240622,2556,
contig_22017,1547,164668,193,
contig_22018,173,27425,15,
contig_22020,2422,313156,363,
contig_22037,1733,193026,651,
contig_22051,1397,192568,693,
contig_22069,315,39507,29,
contig_22072,371,31576,45,
contig_22074,301,31675,6,
contig_22081,580,75250,100,
contig_22088,684,95766,11,
contig_22092,486,76306,197,
contig_22094,557,51988,16,
contig_22102,251,35399,27,
contig_22103,6627,964388,4618,
contig_22104,205,35435,69,
contig_22105,373,32047,35,
contig_22107,32430,2887455,63911,
contig_22112,814,150798,449,
contig_22114,6068,518084,3035,
contig_22116,1212,140759,384,
contig_22123,168,17243,5,
contig_22124,255,25450,26,
contig_22133,7452,642936,1625,
contig_22139,619,45897,24,
contig_22156,178,27614,124,
contig_22161,476,47760,94,
contig_22162,697,82722,9,
contig_22166,1210,236215,583,
contig_22167,964,187428,12634,
contig_22169,301,34881,29,
contig_2217,3480,230557,438,
contig_22172,177,24553,79,
contig_22176,3127,441495,3386,
contig_22177,2695,381869,657,
contig_22181,366,53220,80,
contig_22186,1328,266772,29,
contig_22209,339,50219,41,
contig_22222,9520,985059,1195,
contig_22223,151,19938,99,
contig_22224,57,13017,20,
contig_22225,1016,114096,99,
contig_22226,104,12104,6245,
contig_22231,1158,128298,473,
contig_22232,640,71574,57,
contig_22233,550,63917,97,
contig_22235,1795,148036,1173,
contig_22239,644,61095,43,
contig_22240,1078,148187,86,
contig_22241,964,117854,17,
contig_22244,953,101284,104,
contig_22256,269,78199,180,
contig_22257,514,97210,470,
contig_22258,143,9471,12,
contig_22259,103,5738,1,
contig_22260,420,25964,119,
contig_22261,342,21877,35,
contig_22262,82,5497,76,
contig_22264,784,52747,87,
contig_22266,132,9042,25,
contig_22268,106,6395,21,
contig_22269,79,6107,8,
contig_22272,8968,1022580,1199,
contig_22279,17940,1240765,1266,
contig_22282,1492,86710,3,
contig_22283,432,41390,26,
contig_22295,897,83495,127,
contig_22301,346,34458,71,
contig_22303,5831,577239,341,
contig_22322,414,97439,52,
contig_22325,499,55268,27,
contig_22332,22583,1153580,3767,
contig_22334,3485,485119,302,
contig_22335,339,78318,86,
contig_22337,935,108375,70,
contig_22342,1225,135868,47,
contig_22349,485,62705,57,
contig_22352,194,24802,57,
contig_22357,3560,493656,1967,
contig_22360,222,26936,74,
contig_22364,1114,207910,310,
contig_22366,307,32519,43,
contig_22368,1075,138592,292,
contig_22369,490,83426,94,
contig_22370,817,91931,112,
contig_22372,288,43213,41,
contig_22382,572,93021,189,
contig_22389,2476,353182,67,
contig_22395,76,35852,25,
contig_22398,178,18832,11,
contig_224,3729,501973,2468,
contig_22400,2048,320775,116,
contig_22406,185,27835,19,
contig_22407,234,48121,1484,
contig_22408,60,22638,14,
contig_22409,1096,132500,21,
contig_22411,3875,389945,827,
contig_22415,1982,273312,1147,
contig_22416,840,87353,104,
contig_22417,1878,391016,4451,
contig_22420,225,59895,139,
contig_22421,300,30430,25,
contig_22423,1909,232729,439,
contig_22425,2222,299715,244,
contig_22430,223,24710,7,
contig_22431,178,22692,25,
contig_22435,6866,616336,348,
contig_22438,1473,133626,70,
contig_22447,544,51081,39,
contig_2245,7351,724384,1217,
contig_22452,122,15643,14,
contig_22457,1400,154408,438,
contig_2246,15562,1565973,6113,
contig_22461,273,37242,5,
contig_22467,197,37979,17,
contig_22468,235,29690,11,
contig_22469,592,81661,69,
contig_22470,139,20867,22,
contig_22473,107,18837,150,
contig_22475,263,35285,12,
contig_22477,1637,234094,224,
contig_22481,171,26631,4,
contig_22484,405,64345,528,
contig_22485,21177,3015505,18636,
contig_22486,635,102673,745,
contig_22487,217,33299,18,
contig_22488,250,32169,5,
contig_22489,374,51758,19,
contig_22490,182,24736,34,
contig_22491,217,34869,15,
contig_22494,171,24194,12,
contig_22495,327,47463,7,
contig_22498,594,80115,35,
contig_22499,484,70312,121,
contig_225,1126,105496,84,
contig_2250,547,47921,71,
contig_22500,522,76195,45,
contig_22501,2723,381654,2412,
contig_22502,483,62467,51,
contig_22503,147,18624,14,
contig_22504,854,123440,56,
contig_22506,195,24082,5,
contig_22507,5494,776857,7739,
contig_22508,153,20697,26,
contig_22510,269,41803,92,
contig_22512,324,44569,4,
contig_22515,333,46853,50,
contig_22518,143,19858,86,
contig_22520,617,99821,36,
contig_22521,55,15775,55,
contig_22522,88,19769,115,
contig_22529,957,131397,169,
contig_22536,278,108859,92,
contig_22537,149,47241,197,
contig_22538,169,60061,35,
contig_22541,54,18288,201,
contig_22544,2220,125878,205,
contig_22545,361,21026,8,
contig_22549,583,77895,117,
contig_22557,333,27712,33,
contig_22561,741,36448,17,
contig_22563,208,27325,34,
contig_22564,1141,136164,2041,
contig_22565,550,62723,29,
contig_22567,169,20692,14,
contig_22569,205,20955,3,
contig_22573,25292,5051113,333372,
contig_22577,1036,125566,195,
contig_22581,1451,231617,1175,
contig_22582,158,18159,83,
contig_22583,658,42438,666,
contig_22585,360,43270,54,
contig_22589,401,38117,70,
contig_22591,382,37390,109,
contig_22595,616,59833,61,
contig_226,6037,713998,1219,
contig_22601,388,25143,1,
contig_22604,630,69557,64,
contig_22607,18,2032,3,
contig_22624,411,59106,29,
contig_22625,305,39175,244,
contig_2263,12566,1554960,7426,
contig_22632,9828,1097866,638,
contig_22637,306,17496,85,
contig_22648,606,83865,412,
contig_22654,1505,134946,272,
contig_22655,1030,156218,179,
contig_22667,1322,210139,463,
contig_22672,801,88806,119,
contig_22683,1269,123744,354,
contig_22684,1071,94568,233,
contig_22686,567,76298,80,
contig_22687,438,54999,689,
contig_22688,272,39819,1,
contig_22689,689,111159,634,
contig_22697,591,34957,343,
contig_22698,304,67025,285,
contig_22699,702,97002,208,
contig_22704,1460,402577,440,
