Bin index,Category,Phylum,Class,Order,Family,Genus,Species
contig_19634,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_19636,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_19727,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_19821,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_21155,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_2171,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_2179,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_2180,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_2182,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_2183,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_2185,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_21859,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_21881,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_21883,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_2194,virus,Unclassified,Unclassified,Caudoviralev,Podoviridae,Unclassified,Unclassified
contig_22002,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_22004,virus,Unclassified,Unclassified,Herpesviralev,Herpesviridae,Unclassified,Unclassified
contig_22235,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_22258,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_22268,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_22269,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_22279,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_22447,virus,Unclassified,Unclassified,Unclassified,Phycodnaviridae,Unclassified,Unclassified
contig_22811,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_22895,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_23075,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_2313,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_23189,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_23277,virus,Unclassified,Unclassified,Herpesviralev,Herpesviridae,Unclassified,Unclassified
contig_23343,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_23673,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_23922,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_24116,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_24211,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_24212,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_24213,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_24277,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_24425,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_24531,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_24735,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_24784,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_25083,virus,Unclassified,Unclassified,Caudoviralev,Podoviridae,Unclassified,Unclassified
contig_25218,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_25313,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_25481,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_25595,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_25602,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_25823,virus,Unclassified,Unclassified,Unclassified,Retroviridae,Unclassified,Unclassified
contig_25887,virus,Unclassified,Unclassified,Caudoviralev,Podoviridae,Unclassified,Unclassified
contig_26118,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_26505,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_26632,virus,Unclassified,Unclassified,Caudoviralev,Podoviridae,Unclassified,Unclassified
contig_26777,virus,Unclassified,Unclassified,Caudoviralev,Podoviridae,Unclassified,Unclassified
contig_26817,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_27205,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_27629,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_27881,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_27884,virus,Unclassified,Unclassified,Caudoviralev,Podoviridae,Unclassified,Unclassified
contig_27891,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_27892,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_2793,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_28057,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_28164,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_2826,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_28431,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_28434,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_28761,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_28844,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_29620,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_29714,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_30161,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_30343,virus,Unclassified,Unclassified,Herpesviralev,Herpesviridae,Unclassified,Unclassified
contig_30407,virus,Unclassified,Unclassified,Herpesviralev,Herpesviridae,Unclassified,Unclassified
contig_30590,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_30593,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_30655,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_30754,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_310,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_31068,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_31108,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_3122,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_3125,virus,Unclassified,Unclassified,Caudoviralev,Podoviridae,Unclassified,Unclassified
contig_31459,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_31461,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_31462,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_31464,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_31564,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_31686,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_32285,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_325,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_32640,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_327,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_32741,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_32742,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_33012,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_332,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_33492,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_33525,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
