Bin index,Contig index
MAG_109,contig_12637
MAG_109,contig_1507
MAG_109,contig_23073
MAG_109,contig_24566
MAG_109,contig_24567
MAG_109,contig_26055
MAG_109,contig_31186
MAG_109,contig_32474
MAG_109,contig_32478
MAG_109,contig_32480
MAG_109,contig_32482
MAG_109,contig_46069
MAG_109,contig_58575
MAG_109,contig_7851
MAG_109,contig_8218
MAG_109,contig_8296
MAG_109,contig_8298
MAG_1091,contig_34444
MAG_1091,contig_56996
MAG_11,contig_13966
MAG_11,contig_16309
MAG_11,contig_18679
MAG_11,contig_19355
MAG_11,contig_24524
MAG_11,contig_25137
MAG_11,contig_25581
MAG_11,contig_2872
MAG_11,contig_31111
MAG_11,contig_32633
MAG_11,contig_33582
MAG_11,contig_33963
MAG_11,contig_38987
MAG_11,contig_39286
MAG_11,contig_43538
MAG_11,contig_47553
MAG_11,contig_4865
MAG_11,contig_4867
MAG_11,contig_48992
MAG_11,contig_49535
MAG_11,contig_50024
MAG_11,contig_52863
MAG_11,contig_53821
MAG_11,contig_5429
MAG_11,contig_54716
MAG_11,contig_57288
MAG_11,contig_57431
MAG_11,contig_58374
MAG_11,contig_59092
MAG_11,contig_59907
MAG_110,contig_10289
MAG_110,contig_27667
MAG_110,contig_30807
MAG_110,contig_31895
MAG_110,contig_32349
MAG_110,contig_35201
MAG_110,contig_35206
MAG_110,contig_35360
MAG_110,contig_40745
MAG_110,contig_54226
MAG_110,contig_54932
MAG_110,contig_54934
MAG_110,contig_55678
MAG_110,contig_55888
MAG_110,contig_56438
MAG_110,contig_57514
MAG_110,contig_59099
MAG_110,contig_59914
MAG_110,contig_60194
MAG_1103,contig_54171
MAG_1103,contig_54172
MAG_1109,contig_11258
MAG_1109,contig_8112
MAG_1111,contig_40834
MAG_1112,contig_57539
MAG_1112,contig_60996
MAG_1113,contig_60708
MAG_1113,contig_8622
MAG_1117,contig_1206
MAG_1117,contig_5979
MAG_1120,contig_12633
MAG_1120,contig_7549
MAG_1121,contig_25934
MAG_1121,contig_26509
MAG_1122,contig_31891
MAG_1122,contig_57952
MAG_1123,contig_4044
MAG_1123,contig_55721
MAG_1126,contig_3204
MAG_1127,contig_5036
MAG_1127,contig_56349
MAG_1128,contig_27622
MAG_1128,contig_58967
MAG_113,contig_13141
MAG_113,contig_24563
MAG_113,contig_24680
MAG_113,contig_28533
MAG_113,contig_29544
MAG_113,contig_29868
MAG_113,contig_36593
MAG_113,contig_49755
MAG_113,contig_50617
MAG_113,contig_52039
MAG_113,contig_52965
MAG_113,contig_53590
MAG_113,contig_53738
MAG_113,contig_56530
MAG_113,contig_59722
MAG_113,contig_6179
MAG_113,contig_9066
MAG_1132,contig_11718
MAG_1134,contig_3236
MAG_1135,contig_57430
MAG_1136,contig_13103
MAG_1137,contig_5013
MAG_1138,contig_14639
MAG_1150,contig_4874
MAG_116,contig_10531
MAG_116,contig_11989
MAG_116,contig_1309
MAG_116,contig_21371
MAG_116,contig_25433
MAG_116,contig_33395
MAG_116,contig_37716
MAG_116,contig_38742
MAG_116,contig_46359
MAG_116,contig_47875
MAG_116,contig_51212
MAG_116,contig_52117
MAG_116,contig_53320
MAG_116,contig_54164
MAG_116,contig_58643
MAG_116,contig_59082
MAG_116,contig_60412
MAG_116,contig_7880
MAG_1166,contig_5613
MAG_117,contig_10740
MAG_117,contig_12571
MAG_117,contig_14115
